48
0.000000,0.000000
109365.648438,80.000000,1
111095.273438,90.000000,1
112957.945312,100.000000,1
122138.273438,110.000000,1
124666.195312,120.000000,1
129988.117188,130.000000,1
173029.218750,180.000000,1
182276.078125,220.000000,1
191722.500000,260.000000,1
200503.687500,300.000000,1
205160.375000,320.000000,0
238156.328125,310.000000,0
243079.109375,280.000000,0
247469.703125,250.000000,0
253856.015625,210.000000,0
258113.562500,180.000000,1
290178.187500,190.000000,1
294435.718750,205.000000,1
303483.000000,220.000000,1
329893.093750,235.000000,1
393157.531250,250.000000,0
473052.968750,240.000000,0
478374.906250,220.000000,0
481900.687500,200.000000,0
485160.375000,180.000000,0
515961.031250,200.000000,1
521016.875000,225.000000,1
526604.875000,250.000000,1
530862.437500,275.000000,1
533523.375000,300.000000,0
564324.062500,290.000000,0
567517.250000,270.000000,0
570444.312500,250.000000,0
573171.750000,230.000000,0
576897.125000,210.000000,0
580289.875000,190.000000,1
689921.625000,240.000000,1
693646.937500,250.000000,1
695509.625000,260.000000,1
701430.250000,280.000000,0
721520.562500,270.000000,0
726044.187500,250.000000,0
730168.687500,230.000000,0
761501.562500,150.000000,0
762898.562500,125.000000,0
765226.875000,100.000000,0
840000.000000,0.000000,0
